sample_id,layout_points,structure,fixture,sequence,design,p_sim_mm,pass_in_model,efficiency_factor,current_factor,voltage_factor,travel_speed_factor,conductivity_factor_q235b,conductivity_factor_qt450_10,alpha_factor_q235b,alpha_factor_qt450_10,young_factor_q235b,young_factor_qt450_10,fixture_stiffness_factor,initial_eccentricity_mm
2,4,flex,rigid,S3,flex-rigid-4P-S3,0.02479,True,1.0511570559986232,0.9187857432228836,1.0109814609764696,1.0095876981880392,0.9945923158752357,0.9508475074387363,1.049656758059393,0.9815514485784272,1.0400701732463224,0.9714879336262557,0.9982315860328347,-0.006702979633024589
2,4,flex,compliant,S1,flex-compliant-4P-S1,0.03171,True,1.0511570559986232,0.9187857432228836,1.0109814609764696,1.0095876981880392,0.9945923158752357,0.9508475074387363,1.049656758059393,0.9815514485784272,1.0400701732463224,0.9714879336262557,0.9982315860328347,-0.006702979633024589
2,4,flex,compliant,S2,flex-compliant-4P-S2,0.022138,True,1.0511570559986232,0.9187857432228836,1.0109814609764696,1.0095876981880392,0.9945923158752357,0.9508475074387363,1.049656758059393,0.9815514485784272,1.0400701732463224,0.9714879336262557,0.9982315860328347,-0.006702979633024589
2,4,flex,compliant,S3,flex-compliant-4P-S3,0.022138,True,1.0511570559986232,0.9187857432228836,1.0109814609764696,1.0095876981880392,0.9945923158752357,0.9508475074387363,1.049656758059393,0.9815514485784272,1.0400701732463224,0.9714879336262557,0.9982315860328347,-0.006702979633024589
2,6,baseline,rigid,S1,baseline-rigid-6P-S1,0.057457,False,1.0511570559986232,0.9187857432228836,1.0109814609764696,1.0095876981880392,0.9945923158752357,0.9508475074387363,1.049656758059393,0.9815514485784272,1.0400701732463224,0.9714879336262557,0.9982315860328347,-0.006702979633024589
2,6,baseline,rigid,S2,baseline-rigid-6P-S2,0.026299,True,1.0511570559986232,0.9187857432228836,1.0109814609764696,1.0095876981880392,0.9945923158752357,0.9508475074387363,1.049656758059393,0.9815514485784272,1.0400701732463224,0.9714879336262557,0.9982315860328347,-0.006702979633024589
2,6,baseline,rigid,S3,baseline-rigid-6P-S3,0.026299,True,1.0511570559986232,0.9187857432228836,1.0109814609764696,1.0095876981880392,0.9945923158752357,0.9508475074387363,1.049656758059393,0.9815514485784272,1.0400701732463224,0.9714879336262557,0.9982315860328347,-0.006702979633024589
2,6,baseline,compliant,S1,baseline-compliant-6P-S1,0.046923,True,1.0511570559986232,0.9187857432228836,1.0109814609764696,1.0095876981880392,0.9945923158752357,0.9508475074387363,1.049656758059393,0.9815514485784272,1.0400701732463224,0.9714879336262557,0.9982315860328347,-0.006702979633024589
2,6,baseline,compliant,S2,baseline-compliant-6P-S2,0.023128,True,1.0511570559986232,0.9187857432228836,1.0109814609764696,1.0095876981880392,0.9945923158752357,0.9508475074387363,1.049656758059393,0.9815514485784272,1.0400701732463224,0.9714879336262557,0.9982315860328347,-0.006702979633024589
2,6,baseline,compliant,S3,baseline-compliant-6P-S3,0.023128,True,1.0511570559986232,0.9187857432228836,1.0109814609764696,1.0095876981880392,0.9945923158752357,0.9508475074387363,1.049656758059393,0.9815514485784272,1.0400701732463224,0.9714879336262557,0.9982315860328347,-0.006702979633024589
2,6,flex,rigid,S1,flex-rigid-6P-S1,0.042197,True,1.0511570559986232,0.9187857432228836,1.0109814609764696,1.0095876981880392,0.9945923158752357,0.9508475074387363,1.049656758059393,0.9815514485784272,1.0400701732463224,0.9714879336262557,0.9982315860328347,-0.006702979633024589
2,6,flex,rigid,S2,flex-rigid-6P-S2,0.021731,True,1.0511570559986232,0.9187857432228836,1.0109814609764696,1.0095876981880392,0.9945923158752357,0.9508475074387363,1.049656758059393,0.9815514485784272,1.0400701732463224,0.9714879336262557,0.9982315860328347,-0.006702979633024589
2,6,flex,rigid,S3,flex-rigid-6P-S3,0.021731,True,1.0511570559986232,0.9187857432228836,1.0109814609764696,1.0095876981880392,0.9945923158752357,0.9508475074387363,1.049656758059393,0.9815514485784272,1.0400701732463224,0.9714879336262557,0.9982315860328347,-0.006702979633024589
2,6,flex,compliant,S1,flex-compliant-6P-S1,0.035204,True,1.0511570559986232,0.9187857432228836,1.0109814609764696,1.0095876981880392,0.9945923158752357,0.9508475074387363,1.049656758059393,0.9815514485784272,1.0400701732463224,0.9714879336262557,0.9982315860328347,-0.006702979633024589
2,6,flex,compliant,S2,flex-compliant-6P-S2,0.019695,True,1.0511570559986232,0.9187857432228836,1.0109814609764696,1.0095876981880392,0.9945923158752357,0.9508475074387363,1.049656758059393,0.9815514485784272,1.0400701732463224,0.9714879336262557,0.9982315860328347,-0.006702979633024589
