candidate,resolution,thermal_source,material_scenario,restraint_pattern,foundation_n_mm3,position_sensitivity_diameter_mm,bore_fit_rms_mm,relative_linear_residual,maximum_displacement_mm,formal_welding_residual_prediction
Continuous,coarse,elmer,low_expansion_high_yield,hemisphere_90,1000000.0,0.0013987919530760939,0.0004351408494001398,7.669435453924183e-15,0.007484510220562423,False
Continuous,coarse,elmer,high_expansion_low_yield,uniform_half,1000000.0,3.046363277890719e-05,0.0003601283868568546,8.909029827652001e-15,0.005602098971534294,False
Continuous,coarse,elmer,high_expansion_low_yield,uniform_full,1000000.0,4.257138351490207e-05,0.0002483085946514578,7.603184835643085e-15,0.006066184035639567,False
Continuous,coarse,elmer,high_expansion_low_yield,hemisphere_0,1000000.0,0.0074645048525774785,0.0005292245032984342,8.045147692981169e-15,0.007426362808813923,False
Continuous,coarse,elmer,high_expansion_low_yield,hemisphere_30,1000000.0,0.007473646124162094,0.0005294226405763281,8.020077504958799e-15,0.007477152793659057,False
Continuous,coarse,elmer,high_expansion_low_yield,hemisphere_60,1000000.0,0.00749970850429007,0.0005234095433179164,7.958749062396805e-15,0.007449709173272225,False
Continuous,coarse,elmer,high_expansion_low_yield,hemisphere_90,1000000.0,0.007492151146928711,0.0005233943647060711,8.009172957699507e-15,0.007425840359406315,False
Continuous,medium,fvm,nominal,uniform_half,10000.0,4.513288364689534e-05,0.0004859396385809149,1.6643571227429703e-14,0.007587631721842576,False
Continuous,medium,fvm,nominal,uniform_full,10000.0,5.93376417966669e-05,0.0007364639811715758,1.6684067933963735e-14,0.011371688755828837,False
Continuous,medium,fvm,nominal,hemisphere_0,10000.0,0.004167620712005474,0.0006361937581117687,1.6540236252136685e-14,0.010444757622894773,False
Continuous,medium,fvm,nominal,hemisphere_30,10000.0,0.004189889587452728,0.0006468813873800786,1.6487986337671283e-14,0.010469365050408354,False
Continuous,medium,fvm,nominal,hemisphere_60,10000.0,0.004199874765855837,0.000641731016431603,1.6303928054760336e-14,0.010454962310873598,False
Continuous,medium,fvm,nominal,hemisphere_90,10000.0,0.004197774413427232,0.0006364030683362447,1.6651025798529527e-14,0.010463792742453291,False
Continuous,medium,fvm,low_expansion_high_yield,uniform_half,10000.0,4.792706898344728e-05,0.00040685919502056635,1.519158622617941e-14,0.006392386776347337,False
Continuous,medium,fvm,low_expansion_high_yield,uniform_full,10000.0,7.284055686377437e-05,0.0009261364168306959,1.9740573318404968e-14,0.014206300959204164,False
Continuous,medium,fvm,low_expansion_high_yield,hemisphere_0,10000.0,0.0020805817917517715,0.0006723379908348493,1.7742066693951944e-14,0.011506373421472897,False
Continuous,medium,fvm,low_expansion_high_yield,hemisphere_30,10000.0,0.0020713394034352424,0.0006792450629336848,1.726787431292012e-14,0.011540267740982978,False
Continuous,medium,fvm,low_expansion_high_yield,hemisphere_60,10000.0,0.002094508689872292,0.0006762739269306798,1.7654265524549668e-14,0.011526811133100077,False
Continuous,medium,fvm,low_expansion_high_yield,hemisphere_90,10000.0,0.0021114587875440604,0.0006719544104425031,1.7479413728722413e-14,0.011497899262562963,False
Continuous,medium,fvm,high_expansion_low_yield,uniform_half,10000.0,4.488959233251916e-05,0.0005936764163005254,1.8875929589587886e-14,0.009189563938101702,False
Continuous,medium,fvm,high_expansion_low_yield,uniform_full,10000.0,3.3542179697742883e-05,0.00038107216246871685,1.6721543017671482e-14,0.008368387006523592,False
Continuous,medium,fvm,high_expansion_low_yield,hemisphere_0,10000.0,0.009810280189150382,0.0006654012052364865,1.728133512690934e-14,0.01058830851906334,False
Continuous,medium,fvm,high_expansion_low_yield,hemisphere_30,10000.0,0.009889714474397992,0.0006798658695583192,1.7535790265910724e-14,0.010601961911697474,False
Continuous,medium,fvm,high_expansion_low_yield,hemisphere_60,10000.0,0.009920219400265011,0.0006723218451789332,1.764389825206062e-14,0.010605381197886822,False
Continuous,medium,fvm,high_expansion_low_yield,hemisphere_90,10000.0,0.00984476788993844,0.0006680395116502508,1.776980730822109e-14,0.010602227269703468,False
Continuous,medium,elmer,nominal,uniform_half,10000.0,4.3748250042441805e-05,0.00042960169576442285,1.6078083641019023e-14,0.006721039848391749,False
Continuous,medium,elmer,nominal,uniform_full,10000.0,6.0813513087395774e-05,0.0007388463290522318,1.6733449109485588e-14,0.011402361579506632,False
Continuous,medium,elmer,nominal,hemisphere_0,10000.0,0.00413834171800496,0.0006098390704065992,1.633189425856502e-14,0.010140390879155954,False
Continuous,medium,elmer,nominal,hemisphere_30,10000.0,0.004139993943406458,0.0006206848273660737,1.6546485569401068e-14,0.010171460852084443,False
Continuous,medium,elmer,nominal,hemisphere_60,10000.0,0.004165786254817952,0.0006158475360049109,1.6861806647939427e-14,0.010161332399326215,False
Continuous,medium,elmer,nominal,hemisphere_90,10000.0,0.004178441256767119,0.0006105464362665611,1.5934843331227192e-14,0.01016678709110096,False
Continuous,medium,elmer,low_expansion_high_yield,uniform_half,10000.0,4.509687320728316e-05,0.0003469625443282633,1.433664250244482e-14,0.0054652655999220204,False
Continuous,medium,elmer,low_expansion_high_yield,uniform_full,10000.0,7.141446890147054e-05,0.0008974380590303762,2.0137859186729227e-14,0.01377537741434903,False
Continuous,medium,elmer,low_expansion_high_yield,hemisphere_0,10000.0,0.002045716753881527,0.0006276109845909485,1.751922942919146e-14,0.010885796943689574,False
Continuous,medium,elmer,low_expansion_high_yield,hemisphere_30,10000.0,0.002034330032386115,0.0006342426208170629,1.755963942495071e-14,0.010916795767399396,False
Continuous,medium,elmer,low_expansion_high_yield,hemisphere_60,10000.0,0.0020521933379398414,0.0006324009425992998,1.7348316801736608e-14,0.010909084613409626,False
Continuous,medium,elmer,low_expansion_high_yield,hemisphere_90,10000.0,0.0020646138965924464,0.0006278432469607736,1.704632331648665e-14,0.01087277651958683,False
Continuous,medium,elmer,high_expansion_low_yield,uniform_half,10000.0,4.544001666842933e-05,0.0005553612182941402,1.9301552617779822e-14,0.008602205106698044,False
Continuous,medium,elmer,high_expansion_low_yield,uniform_full,10000.0,3.444305235385613e-05,0.00039254589449777436,1.6916982303114627e-14,0.008456065275838977,False
Continuous,medium,elmer,high_expansion_low_yield,hemisphere_0,10000.0,0.009798449222215302,0.0006560263098524742,1.7587904575041264e-14,0.010463318381601885,False
Continuous,medium,elmer,high_expansion_low_yield,hemisphere_30,10000.0,0.009876437471629104,0.0006702910752823031,1.796784451581416e-14,0.010485133249718762,False
Continuous,medium,elmer,high_expansion_low_yield,hemisphere_60,10000.0,0.009907048111776496,0.0006629336624211281,1.8047884101320807e-14,0.010484588414160542,False
Continuous,medium,elmer,high_expansion_low_yield,hemisphere_90,10000.0,0.00983216086201685,0.0006588457540947357,1.8144014367542153e-14,0.010479157117936561,False
Continuous,medium,fvm,nominal,uniform_half,1000000.0,3.448020023279752e-05,0.00036311273173117057,1.183081480908027e-14,0.005583767419674473,False
Continuous,medium,fvm,nominal,uniform_full,1000000.0,4.289518062363988e-05,0.0005332470414145244,1.1687077568185471e-14,0.008005894824094178,False
Continuous,medium,fvm,nominal,hemisphere_0,1000000.0,0.002896118850245965,0.0004689552008128631,1.1779936428809827e-14,0.007507902740158243,False
Continuous,medium,fvm,nominal,hemisphere_30,1000000.0,0.0029141775758314893,0.000476927992354759,1.1859825661119458e-14,0.007523383800566548,False
Continuous,medium,fvm,nominal,hemisphere_60,1000000.0,0.002922051254721318,0.0004735134926917946,1.1938445676742326e-14,0.007529539950594166,False
Continuous,medium,fvm,nominal,hemisphere_90,1000000.0,0.0029089465961684904,0.00047016981755343136,1.1707555162548951e-14,0.007546440698898864,False
Continuous,medium,fvm,low_expansion_high_yield,uniform_half,1000000.0,3.585900119688158e-05,0.0003154016331248719,1.1189227014125076e-14,0.0048959112767938675,False
Continuous,medium,fvm,low_expansion_high_yield,uniform_full,1000000.0,5.342168065747369e-05,0.000672597231501575,1.3923549310177744e-14,0.010064358415181628,False
Continuous,medium,fvm,low_expansion_high_yield,hemisphere_0,1000000.0,0.0014251084370148575,0.0004978883385878341,1.2657388266023344e-14,0.008518891604353257,False
Continuous,medium,fvm,low_expansion_high_yield,hemisphere_30,1000000.0,0.0014197068272972832,0.0005017857363871231,1.2732970410707488e-14,0.008535359047479605,False
Continuous,medium,fvm,low_expansion_high_yield,hemisphere_60,1000000.0,0.0014363500535099312,0.0005002955552381906,1.2493932452243218e-14,0.008540205977698305,False
Continuous,medium,fvm,low_expansion_high_yield,hemisphere_90,1000000.0,0.001447761983471383,0.0004982745777486069,1.238943263747469e-14,0.00852875277016359,False
Continuous,medium,fvm,high_expansion_low_yield,uniform_half,1000000.0,3.369966393976494e-05,0.0004348268269642455,1.3832775275851354e-14,0.006593846771442063,False
Continuous,medium,fvm,high_expansion_low_yield,uniform_full,1000000.0,2.292806029654803e-05,0.0002750475568961879,1.2171235918782127e-14,0.006235537857901177,False
Continuous,medium,fvm,high_expansion_low_yield,hemisphere_0,1000000.0,0.007375273653925869,0.000554543179264681,1.2834950126809226e-14,0.007770331835876103,False
Continuous,medium,fvm,high_expansion_low_yield,hemisphere_30,1000000.0,0.007449890613325441,0.0005673103335197983,1.2688891778040566e-14,0.0077615408099413145,False
Continuous,medium,fvm,high_expansion_low_yield,hemisphere_60,1000000.0,0.007480170739117872,0.0005603944396854814,1.3058022584495789e-14,0.007777857516971941,False
Continuous,medium,fvm,high_expansion_low_yield,hemisphere_90,1000000.0,0.00741200303226448,0.0005582991914554019,1.2813382019602901e-14,0.007793165503577485,False
Continuous,medium,elmer,nominal,uniform_half,1000000.0,3.314887758703039e-05,0.00032542233582378145,1.2057011635319385e-14,0.005020166160218766,False
Continuous,medium,elmer,nominal,uniform_full,1000000.0,4.410000398543092e-05,0.0005348063966825491,1.1846157641165337e-14,0.008026491790582653,False
Continuous,medium,elmer,nominal,hemisphere_0,1000000.0,0.002861744434310508,0.0004512463033540756,1.1498148878227512e-14,0.007337678854592819,False
Continuous,medium,elmer,nominal,hemisphere_30,1000000.0,0.002872751680011905,0.000459160138103437,1.167499244185861e-14,0.007356408416702702,False
Continuous,medium,elmer,nominal,hemisphere_60,1000000.0,0.002883810888780725,0.0004559093517949504,1.1809111562311173e-14,0.007364767776468262,False
Continuous,medium,elmer,nominal,hemisphere_90,1000000.0,0.0028924941878326923,0.0004525972825571923,1.1541107720931998e-14,0.007378343270199607,False
Continuous,medium,elmer,low_expansion_high_yield,uniform_half,1000000.0,3.324583253733081e-05,0.00027399658636915227,1.0947977098122746e-14,0.004269807944490991,False
Continuous,medium,elmer,low_expansion_high_yield,uniform_full,1000000.0,5.2365424957451374e-05,0.0006520187847169157,1.4125382105907535e-14,0.009766981903477811,False
