thermal_source,material_scenario,restraint_pattern,foundation_n_mm3,a,b,signed_a_minus_b_mm,resolution_scale_mm,order
elmer,high_expansion_low_yield,hemisphere_60,1000000.0,Continuous,8P-FAIR_B,-0.0017025248956587993,0.0010585691405567005,-1
elmer,high_expansion_low_yield,hemisphere_90,10000.0,Continuous,8P-FAIR_B,0.0006848164580474988,0.0011130706231642007,0
elmer,high_expansion_low_yield,hemisphere_90,1000000.0,Continuous,8P-FAIR_B,-0.0016982601085298995,0.0011222784718226,-1
elmer,high_expansion_low_yield,uniform_full,10000.0,Continuous,8P-FAIR_B,-1.393636058460062e-05,0.0010267232988871607,0
elmer,high_expansion_low_yield,uniform_full,1000000.0,Continuous,8P-FAIR_B,-2.827772474811059e-05,0.0010302947296529097,0
elmer,high_expansion_low_yield,uniform_half,10000.0,Continuous,8P-FAIR_B,2.588959166468665e-05,0.001027023420937988,0
elmer,high_expansion_low_yield,uniform_half,1000000.0,Continuous,8P-FAIR_B,1.3032687139451031e-05,0.0010217668249060108,0
elmer,low_expansion_high_yield,hemisphere_0,10000.0,Continuous,8P-FAIR_B,-1.3355715141999923e-05,0.0011144402541882,0
elmer,low_expansion_high_yield,hemisphere_0,1000000.0,Continuous,8P-FAIR_B,-0.0006485901425955002,0.0011124630444084998,0
elmer,low_expansion_high_yield,hemisphere_30,10000.0,Continuous,8P-FAIR_B,-5.0008176632399936e-05,0.0010809799870349001,0
elmer,low_expansion_high_yield,hemisphere_30,1000000.0,Continuous,8P-FAIR_B,-0.0005993473337892001,0.0010859285242462997,0
elmer,low_expansion_high_yield,hemisphere_60,10000.0,Continuous,8P-FAIR_B,-3.190828435019983e-05,0.0010744172633911004,0
elmer,low_expansion_high_yield,hemisphere_60,1000000.0,Continuous,8P-FAIR_B,-0.0005895641915686998,0.0010653354390649003,0
elmer,low_expansion_high_yield,hemisphere_90,10000.0,Continuous,8P-FAIR_B,2.729657852380005e-05,0.0010861648440803002,0
