thermal_source,material_scenario,restraint_pattern,foundation_n_mm3,6P-FAIR_B,8P-FAIR_B,Continuous
elmer,low_expansion_high_yield,hemisphere_90,1000000.0,6.782399622189995e-05,7.044550953270003e-05,1.6132138110999932e-05
elmer,low_expansion_high_yield,uniform_full,10000.0,2.3910811290278982e-05,2.1632202095813838e-05,1.5705575493130906e-05
elmer,low_expansion_high_yield,uniform_full,1000000.0,4.4643393674336524e-05,1.1287333343922115e-05,1.1921372269890651e-05
elmer,low_expansion_high_yield,uniform_half,10000.0,3.281678031348885e-05,1.707884991893322e-06,1.1306852624972947e-05
elmer,low_expansion_high_yield,uniform_half,1000000.0,3.7172068718391724e-05,3.212414439098158e-06,5.083777464500228e-06
elmer,nominal,hemisphere_0,10000.0,8.68893971408e-05,0.00016795273518449994,6.025624714440028e-05
elmer,nominal,hemisphere_0,1000000.0,2.609616363390046e-05,0.00015795083538370017,4.821122403339973e-05
elmer,nominal,hemisphere_30,10000.0,5.154843555859982e-05,0.0001476698556927003,7.328843395429992e-05
elmer,nominal,hemisphere_30,1000000.0,9.108203361800349e-06,0.00013565672629150052,4.3573745222000304e-05
elmer,nominal,hemisphere_60,10000.0,9.898280842010002e-05,9.242826967730076e-05,6.558327674500031e-05
elmer,nominal,hemisphere_60,1000000.0,2.1424713298400302e-05,6.702096323459982e-05,4.7057998058999684e-05
elmer,nominal,hemisphere_90,10000.0,0.0001285887396417001,8.418947000569943e-05,8.345608627710003e-05
elmer,nominal,hemisphere_90,1000000.0,8.220518717680023e-05,9.544342705220064e-05,6.033807373959999e-05
elmer,nominal,uniform_full,10000.0,4.222476274652746e-05,4.0059104376955664e-05,1.660673820110426e-05
elmer,nominal,uniform_full,1000000.0,6.35155470053877e-05,3.8938786149067305e-05,1.1937044964746178e-05
elmer,nominal,uniform_half,10000.0,4.873374956649819e-05,7.710134014486952e-06,9.137948973025423e-06
elmer,nominal,uniform_half,1000000.0,5.610148971904451e-05,5.431365426341082e-06,5.076641880039175e-06
fvm,high_expansion_low_yield,hemisphere_0,10000.0,5.725408109730039e-05,6.053188906529963e-05,9.966166532099884e-05
fvm,high_expansion_low_yield,hemisphere_0,1000000.0,7.35844663023004e-05,0.0001090251812381985,9.842534205570068e-05
fvm,high_expansion_low_yield,hemisphere_30,10000.0,6.248419007470057e-05,3.452849102179856e-05,2.6198314926900376e-05
fvm,high_expansion_low_yield,hemisphere_30,1000000.0,4.92197467967994e-05,8.42211097581997e-05,3.360101364980033e-05
fvm,high_expansion_low_yield,hemisphere_60,10000.0,2.3986791868999338e-05,2.94352305389e-05,2.4821342895801554e-05
fvm,high_expansion_low_yield,hemisphere_60,1000000.0,2.033938897999521e-06,1.620586853750064e-05,3.0880173314799635e-05
fvm,high_expansion_low_yield,hemisphere_90,10000.0,1.3989692753400493e-05,3.868195255990123e-05,9.068215212719964e-05
fvm,high_expansion_low_yield,hemisphere_90,1000000.0,3.959285082920025e-05,1.8632415111701287e-05,9.185447098720035e-05
fvm,high_expansion_low_yield,uniform_full,10000.0,1.993671940354036e-05,5.858511830752169e-06,2.1458483608534515e-05
fvm,high_expansion_low_yield,uniform_full,1000000.0,1.4229646224060417e-05,8.386919614145268e-06,1.9786842691663666e-05
fvm,high_expansion_low_yield,uniform_half,10000.0,1.2832524035833456e-05,1.7859538950763527e-05,7.768693657556271e-06
fvm,high_expansion_low_yield,uniform_half,1000000.0,3.287393919233787e-05,1.9767536580087568e-05,4.114358776830664e-06
fvm,low_expansion_high_yield,hemisphere_0,10000.0,7.671540341879987e-05,0.00010796340208859981,2.8107421447e-05
fvm,low_expansion_high_yield,hemisphere_0,1000000.0,2.269029412129992e-05,9.669898020230007e-05,2.7895509512000302e-06
fvm,low_expansion_high_yield,hemisphere_30,10000.0,3.465252577190001e-05,9.668699530699992e-05,4.824323399030012e-05
fvm,low_expansion_high_yield,hemisphere_30,1000000.0,6.230564032999424e-07,8.58594647164001e-05,1.8596262722000035e-05
