time_s,qt_pair_residual_j,q235_pair_residual_j,q235_interior_residual_j,qt_interior_residual_j,weld_interior_residual_j,qt_weld_side_gradient_j,qt_parent_side_gradient_j,q235_weld_side_gradient_j,q235_parent_side_gradient_j
22.2,-1.33099490807791e-08,-1.61710454250863e-09,1.24162314284989e-08,-3.22529378310642e-08,-8.34172788798972e-06,13.8564971487447,12.2354184579551,15.3619105617398,12.6236946345019
22.3,2.62586227884457e-08,-3.04083085649276e-09,-1.42271772491952e-07,1.18853838160599e-07,-8.59832068200811e-06,13.85980722879,12.2634395133915,15.3002031528133,12.5835322246712
22.4,1.58547227126999e-07,1.17046384724762e-08,3.44852136681511e-08,-6.53997077944768e-08,-8.88457833717735e-06,13.8724069264562,12.3047967233365,15.2419171967029,12.5406348935278
22.5,2.68041957910547e-08,-5.74532048017042e-09,-1.51010161680756e-07,1.03424190822462e-07,-8.83369912200086e-06,13.8965233863373,12.3330338490585,15.1732559438697,12.4911582023401
22.6,2.15196447033821e-07,8.61349599762134e-09,2.41447941724792e-08,2.36456517506603e-08,-9.06820013704106e-06,13.9189055710036,12.3618667056408,15.1023255213427,12.44409050545
22.7,2.73008122854214e-08,-3.73538334537046e-09,-1.32625557448845e-08,2.7897919468359e-09,-7.05168729957572e-06,13.9350808397161,12.3665154039253,15.100494320747,12.4397981999248
22.8,1.71233403174523e-08,2.09433732816075e-08,2.27642182652624e-08,5.87622046310847e-08,-7.40280145825605e-06,13.9503042363695,12.3516528781557,15.207744881732,12.4835916533221
22.9,2.37978761166194e-08,3.56955060961068e-08,9.25417225789821e-08,4.73921779759811e-08,-6.05076850109392e-06,13.9699069978204,12.3645248148401,15.2616781229995,12.5298407306658
23,1.75255601129793e-09,-1.35585785506738e-09,-4.18752183355005e-08,4.78987177196649e-09,-7.52003202438261e-06,13.9882629334527,12.3853976321338,15.2760528554166,12.5537352939459
23.1,-4.3485699418548e-09,-7.84547725049513e-09,-3.50906748826733e-08,-9.02876087485922e-09,-7.88240329750132e-06,14.0040061641237,12.4050593632659,15.2689356975892,12.5620509252822
23.2,2.97045188642895e-09,2.75314270274165e-09,1.23954044655936e-08,1.40227917616918e-08,-7.69651494126723e-06,14.0162686761862,12.4204107182041,15.2475820238381,12.55530964224
23.3,3.24964897027294e-09,2.53955490296771e-09,1.07781831619026e-08,1.50794435709198e-08,-7.79250711842936e-06,14.0243851434359,12.4312880199004,15.2157578501254,12.5453759199109
23.4,4.68081276851386e-09,1.03111362722096e-08,2.97778740423689e-08,1.50041288076946e-08,-6.65110226908781e-06,14.0276287609051,12.4358468845807,15.1723475776151,12.5284073693874
23.5,1.847909965215e-08,2.41208302233354e-08,6.87028192939433e-08,2.97076875475788e-08,-6.15657761450141e-06,14.0173879223111,12.4339780486261,15.1159268143171,12.4987384036109
23.6,-9.00616276392687e-09,-1.93862462021809e-08,-4.76771218134039e-08,-2.76287678416859e-08,-7.84055877064134e-06,14.0153497937551,12.4533146361682,15.0515808028468,12.4595469635922
23.7,-5.57389301139768e-09,1.72416898493661e-09,1.05330149889937e-08,7.85370542416398e-09,-9.96934376311439e-06,14.0231810394118,12.4914922112367,14.992013680856,12.4167433283989
23.8,1.23591258646234e-06,1.82013663896797e-08,4.78371116538004e-08,9.45405259060013e-08,-8.2974831172248e-06,14.0437740972539,12.5232706713934,14.9279588745963,12.3697214630787
23.9,-3.55462192728164e-08,8.82247239130728e-09,2.98503095476669e-08,-5.90947632952216e-09,-8.91689893238951e-06,14.0644662237416,12.5517829366588,14.8575920282372,12.3199806518194
24,2.539437459613e-06,-8.95877005185335e-09,-2.36553717199449e-08,6.33877803298873e-07,-7.82944452263981e-06,14.0842768194955,12.5780204570207,14.7823504756209,12.2904005578925
24.1,-2.89922972849789e-09,-8.16030464818743e-09,-2.24737307433019e-08,-1.13551467733065e-08,-6.03142700455356e-06,14.0995444636539,12.5498718051973,14.9074983123223,12.3261366792009
24.2,3.63306266417989e-09,5.31826958182902e-09,2.17744179229027e-08,1.46669731453237e-08,-6.94818755271591e-06,14.1188084010885,12.5560696638775,14.9815363372225,12.3802438159211
24.3,1.30106947312418e-08,1.68560482075315e-08,3.76524638137082e-08,2.94407108830286e-08,-6.99146436935403e-06,14.1374595710633,12.575394236279,15.0063109273694,12.4117688343512
24.4,-4.38415961219375e-09,-7.83974586367602e-09,-3.54038843072796e-08,-9.03345313397197e-09,-7.45474593573779e-06,14.1544022753321,12.5958891263682,15.0048784845337,12.4243047766905
24.5,2.8278810532013e-09,2.97836549109864e-09,1.37072131741531e-08,1.30306832786799e-08,-7.20420728067718e-06,14.1679869305128,12.6123237892102,14.9887491933237,12.4230243644417
24.6,3.18565923638141e-09,2.54700487119976e-09,1.09507762680324e-08,1.50205452142832e-08,-7.29832229077284e-06,14.1770603427177,12.6244364974923,14.9595422847158,12.4106521263705
24.7,1.4705042020538e-08,1.48566191817677e-08,5.03237753222026e-08,1.57736053049496e-08,-6.35829956568645e-06,14.1830856813405,12.631507759911,14.9224984716444,12.397529303323
24.8,6.63709727408412e-09,1.57566827318094e-08,4.53992109171109e-08,2.28094695045154e-08,-6.76613480832081e-06,14.1782274302344,12.6317090618335,14.8711185491683,12.3723118968568
24.9,-7.867369916132e-09,5.92608202418821e-09,2.32838649149294e-08,-2.35168775930243e-08,-7.46261099593444e-06,14.1692868683927,12.6407432123953,14.8084551410421,12.335648120835
25,-8.19203163385128e-09,-9.49896496884859e-09,-2.03918591200094e-08,-2.38950800739403e-08,-7.76550712831399e-06,14.1745937944167,12.6722995434302,14.7472468241128,12.2936798893674
25.1,1.45473325806079e-06,-2.83877123605866e-09,-8.62609330626457e-09,2.50908864324548e-07,-7.92247365913781e-06,14.1873388937106,12.7100650874452,14.6855444338034,12.2481970808973
25.2,-1.86365125804318e-07,2.79928455982753e-08,2.64765092744085e-08,2.42162774555508e-08,-7.99590949318017e-06,14.2099338003065,12.7373308680984,14.6161716892516,12.1972999787842
25.3,2.62889994957685e-08,1.61107364894133e-08,4.36783906842492e-08,-8.62527594491678e-08,-7.40336883140083e-06,14.2312582507489,12.7661417234158,14.5443971212971,12.1637303293193
25.4,-5.36240814532362e-09,-1.45970434447733e-08,-4.27689241583801e-08,-1.90381236802738e-08,-4.69612870572577e-06,14.2455549645816,12.7488978399091,14.602489380922,12.1789524290761
25.5,1.39365620879874e-08,1.57247206086464e-08,3.58126680998461e-08,1.00977205634471e-08,-6.42116653220179e-06,14.26185320633,12.7438514087145,14.6953121827089,12.2280579501766
25.6,1.44417299628113e-08,2.15742988913514e-08,5.54502077243668e-08,2.85274752214801e-08,-5.90282887911686e-06,14.2851718643761,12.7617196976838,14.7363855785256,12.2673077809866
25.7,-6.64733540550709e-09,-1.15088553405329e-08,-5.11298990482366e-08,-1.31733300868325e-08,-7.22926156695874e-06,14.3021872090333,12.7826854648037,14.7426484176803,12.2869383257133
25.8,2.64204766145315e-09,3.14185542010799e-09,1.45952523089859e-08,1.18224097416107e-08,-6.70287166616186e-06,14.316948915505,12.8006798605415,14.7321549407965,12.2893904619556
25.9,3.12198977198558e-09,2.57978235575308e-09,1.12567075239401e-08,1.49468558607516e-08,-6.79478007427496e-06,14.3269526061543,12.8136960001172,14.7066837254913,12.2787044489283
26,3.3259841478934e-09,2.47356041994086e-09,1.03257995742829e-08,1.53072020462158e-08,-6.89147536761054e-06,14.3334805657081,12.8225500374304,14.6728591585683,12.2650647146755
