x_mm,y_mm,z_mm
10.665368585868698,16.000380517532438,0.0
10.66591342854149,18.666509634216084,0.0
13.332232871124473,-15.999844163031176,0.0
13.332534456556312,-13.333508165459921,0.0
13.332018674010046,13.333801444787804,0.0
13.332535234497218,15.99993544977451,0.0
15.998870454127582,-13.3331631658946,0.0
15.998831165166669,-10.666916806729354,0.0
15.998752533648005,10.667129882793168,0.0
15.999213967019369,13.333291636040958,0.0
18.66560921033598,-10.666520531115761,0.0
18.665630243814924,-7.999759595870564,0.0
18.66554917822204,-5.333543814177902,0.0
18.664981642255395,-2.6663064743700464,0.0
18.665073135755897,0.0003113328490057706,0.0
18.665148890856862,2.66778566886455,0.0
18.665818973055533,5.3339977007670045,0.0
18.665980518927125,8.000274893313431,0.0
18.66595418615858,10.666581992571718,0.0
21.332326247345158,-5.333147476851454,0.0
21.33230021558265,-2.6663985075637555,0.0
21.332392248776358,0.0002826441350699413,0.0
21.332420937490294,2.6669570216327836,0.0
21.332593729275057,5.3335377376782365,0.0
-21.334082534936336,-5.333156014356184,6.0
-21.33426049026047,-2.6664049790044633,6.0
-21.33429584274083,0.0002533013342491208,6.0
-21.33439463381843,2.6669050177548335,6.0
-21.33437396396917,5.333488128345581,6.0
-18.66737027356182,-10.666765914082337,6.0
-18.66735379129628,-7.999745672703222,6.0
-18.667522417977242,-5.332692916942825,6.0
-18.668197036843594,-2.6655743951491946,6.0
-18.66828356713843,0.0002886538146093141,6.0
-18.668384652037982,2.6670038088324346,6.0
-18.667818416881982,5.333092346988323,6.0
-18.667742479984224,8.000216324406473,6.0
-18.66776983222889,10.666787112886686,6.0
-16.000765700264925,-13.333384442576303,6.0
-16.00122439743492,-10.666227754096594,6.0
-16.001216346670237,10.666390508046872,6.0
-16.001182622818146,13.33348423246779,6.0
-13.334100350924876,-16.000068984621134,6.0
-13.334608348220675,-13.332888938830727,6.0
-13.334179230343446,13.333138863498505,6.0
-13.33449251364016,16.000142255973216,6.0
-10.667380494734944,-18.666822431580204,6.0
-10.667911059446118,-15.999640834609744,6.0
-10.6673888710041,16.000161789772235,6.0
-10.66776014600072,18.66671483570886,6.0
-8.001046034075536,-18.666874605207198,6.0
-8.001174615730188,18.666685074545818,6.0
-5.334328323422936,-21.333516492975015,6.0
-5.33474464645682,-18.666746498754904,6.0
-5.334038818970763,18.666768180328134,6.0
-5.3344197152653985,21.33332356130314,6.0
-2.667746981491664,-21.333378367061698,6.0
-2.66850842112865,-18.66613458634819,6.0
-2.6678834226484027,18.66734708605679,6.0
-2.6678174673582,21.333361289904193,6.0
-0.0010814187664669305,-21.333375065781436,6.0
-0.0010847200467312091,-18.666083675987835,6.0
-0.0011526124938539787,18.667278673903446,6.0
-0.0011506280283757012,21.33329533461399,6.0
2.6655852236716933,-21.333308451614073,6.0
2.665518609504333,-18.66601201067661,6.0
2.6647240667019063,18.667229536168023,6.0
2.6655179329592373,21.333293350148512,6.0
5.332314649233486,-21.333341071825018,6.0
5.3326805724065975,-18.666566954244768,6.0
5.331841895682692,18.66659108942756,6.0
5.332275603138382,21.33314923251646,6.0
7.998890352434613,-18.666642656636995,6.0
7.998893735224834,18.666456941472962,6.0
10.665636316845479,-18.666608432164104,6.0
10.665994196404748,-15.999831091736812,6.0
10.665368585868698,16.000380517532438,6.0
10.66591342854149,18.666509634216084,6.0
13.332232871124473,-15.999844163031176,6.0
13.332534456556312,-13.333508165459921,6.0
13.332018674010046,13.333801444787804,6.0
13.332535234497218,15.99993544977451,6.0
15.998870454127582,-13.3331631658946,6.0
15.998831165166669,-10.666916806729354,6.0
15.998752533648005,10.667129882793168,6.0
15.999213967019369,13.333291636040958,6.0
18.66560921033598,-10.666520531115761,6.0
18.665630243814924,-7.999759595870564,6.0
18.66554917822204,-5.333543814177902,6.0
18.664981642255395,-2.6663064743700464,6.0
18.665073135755897,0.0003113328490057706,6.0
18.665148890856862,2.66778566886455,6.0
18.665818973055533,5.3339977007670045,6.0
18.665980518927125,8.000274893313431,6.0
18.66595418615858,10.666581992571718,6.0
21.332326247345158,-5.333147476851454,6.0
21.33230021558265,-2.6663985075637555,6.0
21.332392248776358,0.0002826441350699413,6.0
21.332420937490294,2.6669570216327836,6.0
21.332593729275057,5.3335377376782365,6.0
-21.334082534936336,-5.333156014356184,12.0
-21.33426049026047,-2.6664049790044633,12.0
-21.33429584274083,0.0002533013342491208,12.0
-21.33439463381843,2.6669050177548335,12.0
-21.33437396396917,5.333488128345581,12.0
-18.66737027356182,-10.666765914082337,12.0
-18.66735379129628,-7.999745672703222,12.0
-18.667522417977242,-5.332692916942825,12.0
-18.668197036843594,-2.6655743951491946,12.0
-18.66828356713843,0.0002886538146093141,12.0
-18.668384652037982,2.6670038088324346,12.0
-18.667818416881982,5.333092346988323,12.0
-18.667742479984224,8.000216324406473,12.0
-18.66776983222889,10.666787112886686,12.0
-16.000765700264925,-13.333384442576303,12.0
-16.00122439743492,-10.666227754096594,12.0
-16.001216346670237,10.666390508046872,12.0
-16.001182622818146,13.33348423246779,12.0
-13.334100350924876,-16.000068984621134,12.0
-13.334608348220675,-13.332888938830727,12.0
-13.334179230343446,13.333138863498505,12.0
-13.33449251364016,16.000142255973216,12.0
-10.667380494734944,-18.666822431580204,12.0
-10.667911059446118,-15.999640834609744,12.0
-10.6673888710041,16.000161789772235,12.0
-10.66776014600072,18.66671483570886,12.0
-8.001046034075536,-18.666874605207198,12.0
-8.001174615730188,18.666685074545818,12.0
-5.334328323422936,-21.333516492975015,12.0
-5.33474464645682,-18.666746498754904,12.0
-5.334038818970763,18.666768180328134,12.0
-5.3344197152653985,21.33332356130314,12.0
-2.667746981491664,-21.333378367061698,12.0
-2.66850842112865,-18.66613458634819,12.0
-2.6678834226484027,18.66734708605679,12.0
-2.6678174673582,21.333361289904193,12.0
-0.0010814187664669305,-21.333375065781436,12.0
-0.0010847200467312091,-18.666083675987835,12.0
-0.0011526124938539787,18.667278673903446,12.0
-0.0011506280283757012,21.33329533461399,12.0
2.6655852236716933,-21.333308451614073,12.0
2.665518609504333,-18.66601201067661,12.0
2.6647240667019063,18.667229536168023,12.0
2.6655179329592373,21.333293350148512,12.0
