time_s,qt_pair_residual_j,q235_pair_residual_j,q235_interior_residual_j,qt_interior_residual_j,weld_interior_residual_j,qt_weld_side_gradient_j,qt_parent_side_gradient_j,q235_weld_side_gradient_j,q235_parent_side_gradient_j
21,-8.65006287443777e-10,-2.03228002145062e-09,-2.24264798339227e-08,-1.9271097990567e-09,-2.07798981360933e-09,17.411392992838,12.1825569644404,19.2147070699572,12.9773927602998
21.1,-8.50065808963775e-10,-1.99732846603391e-09,-2.20811688225824e-08,-1.89776588723364e-09,-2.04188156717297e-09,17.4240075204789,12.1995866282143,19.1904047099502,12.9640666059369
21.2,-8.34077604086012e-10,-1.960383801533e-09,-2.17105302575513e-08,-1.86466005500045e-09,-2.00319498837361e-09,17.4362051879607,12.216371591854,19.1656572308377,12.9504561747279
21.3,-8.17973517873332e-10,-1.92293537455099e-09,-2.13359602268091e-08,-1.83252594094292e-09,-1.96420400878818e-09,17.4480073302576,12.232919814285,19.1404791448359,12.9365676138394
21.4,-7.74187652137145e-10,-1.81930047653804e-09,-2.02208215786741e-08,-1.7438810643247e-09,-1.85816595842612e-09,17.4594408336037,12.2492432479093,19.1148945348631,12.9224138702573
21.5,-7.11931680976401e-10,-1.66937447319707e-09,-1.85724879535498e-08,-1.62123105655105e-09,-1.70698399529198e-09,17.4709356949042,12.2655042597716,19.0893468257331,12.9082242550569
21.6,-5.78378616931962e-10,-1.35856169583294e-09,-1.52473797830082e-08,-1.33718800389138e-09,-1.38811375184045e-09,17.4843262075168,12.2824290773658,19.0657772869523,12.8950337782816
21.7,-6.9634164105996e-10,-1.63572553536718e-09,-1.83194981985963e-08,-1.58926553594362e-09,-1.67129482424937e-09,17.4985784368935,12.2998530824611,19.0433553779438,12.8826001807897
21.8,-7.86559328404951e-10,-1.84965935210097e-09,-2.07176771689358e-08,-1.77381122327926e-09,-1.88845968174394e-09,17.5130519698365,12.3175011981669,19.0214267984341,12.8705570943309
21.9,-8.25407364148361e-10,-1.94245413003902e-09,-2.18005860426904e-08,-1.85079820391976e-09,-1.98214463565176e-09,17.5274160225594,12.335171528634,18.9995923031817,12.8586385732936
