time_s,H_q235_j,H_qt_j,H_weld_j,weld_to_qt_j,weld_to_q235_j,source_total_j,loss_q235_j,loss_qt_j,loss_weld_j
20.3,13636.8937557569,31698.334606965,136.222085575003,378.716903654337,453.333586442328,1138.5,79.5369053005584,88.7001295875212,17.4622220776072
20.4,13658.4090319829,31717.8682140322,136.435107164744,395.467370347505,472.748674095469,1188,83.1021418047276,92.6010596934536,18.2341505586407
20.5,13679.8930594068,31737.4230302131,136.648441019376,412.242580804936,492.141251314412,1237.5,86.6761166748844,96.5055244498703,19.003533444302
20.6,13701.3458577846,31756.9988861109,136.861626517374,429.042363176655,511.511323627525,1287,90.2588156845046,100.413521403596,19.7709976779535
20.7,13722.7672315805,31776.5954680947,137.074345123587,445.866423896493,530.858691845521,1336.5,93.8502351805017,104.325070619375,20.5373545503185
20.8,13744.1568552361,31796.2123858345,137.286376660803,462.714407449041,550.183033994626,1386,97.4503787478234,108.240206911848,21.3035017278674
20.9,13765.5143264656,31815.8492112894,137.497569922857,479.585930002327,569.483956385399,1435.5,101.059254983194,112.158974489995,22.070367938219
21,13786.8392013615,31835.5055026778,137.707823623765,496.480599600751,588.761027150746,1485,104.676875926979,116.081423179787,22.8388782900776
21.1,13808.1310187463,31855.1808201107,137.917073873044,513.398029064878,608.013799438336,1534.5,108.303255904413,120.00760569086,23.6099307057072
21.2,13829.3893178389,31874.8747363197,138.125285679381,530.337844692489,627.241828186184,1584,111.938410634732,123.937575589291,24.3843789406265
21.3,13850.6136515205,31894.5868443087,138.332446947813,547.299692374009,646.444682682796,1633.5,115.58235652519,127.871385761696,25.163019910872
21.4,13871.8035965155,31914.3167629314,138.538564035037,564.283241987626,665.62195617566,1683,119.235110099603,131.809087232635,25.946584134229
21.5,13892.959195477,31934.0645242128,138.744167693946,581.288531861522,684.773683216642,1732.5,122.896663257259,135.750686305209,26.7344679778679
21.6,13914.0825358444,31953.8319239479,138.951705171382,598.317167445771,703.901831626438,1782,126.566896381146,139.695992634755,27.5206509245768
21.7,13935.1748325622,31973.6197799169,139.16045264611,615.369858943962,723.007549983467,1831.5,130.245743098871,143.644898644076,28.3039980121384
21.8,13956.2366195692,31993.4283042476,139.369686963993,632.446768178921,742.091334967669,1881,133.933166152134,147.597354028248,29.0845738920837
21.9,13977.2680130402,32013.2573855428,139.57888950033,649.547772104012,761.153283702521,1930.5,137.62914649089,151.55334713807,29.8629231125677
22,13998.2688776292,32033.1067386353,139.787701101129,666.672599649392,780.193253825888,1980,141.333677099787,155.51289207079,30.6398182596934
22.1,14019.2389256928,32052.9759849519,139.995873113298,683.820903305518,799.210958888615,2029.5,145.04675917327,159.476019890161,31.4161419453307
22.2,14040.1777784813,32072.8646981732,140.203233771166,700.99229876107,818.20602703046,2079,148.768399601091,163.442772604172,32.1928221067633
22.3,14061.085005858,32092.772431853,140.40966640712,718.186388303598,837.178038953827,2128.5,152.498609222544,167.413198946794,32.9707924216754
22.4,14081.9601534713,32112.6987371566,140.61509522258,735.402775528297,856.126553822194,2178,156.237401552649,171.387351347844,33.750965929995
22.5,14102.8027622403,32132.6431748781,140.819475732969,752.64107512291,875.051127775876,2227.5,159.984791812754,175.365283700868,34.5342162882443
22.6,14123.6123828643,32152.6053239339,141.022788101524,769.900919679455,893.951327679442,2277,163.740796168077,179.347049681526,35.3213638766024
22.7,14144.3885869089,32172.5847875312,141.225032274144,787.181964573165,912.826741593325,2326.5,167.505431113557,183.33270145791,36.1131653135032
22.8,14165.1309753776,32192.5811976838,141.426224249198,804.48389147746,931.67698684167,2376,171.278712971607,187.322288689772,36.9103056034201
22.9,14185.8413570344,32212.5961346042,141.628940096322,821.808117329043,950.503766202733,2425.5,175.060535756644,191.315648101317,37.7070889617932
23,14206.521232594,32232.6307011433,141.83310132685,839.155611839976,969.308498231656,2475,178.85081730618,195.31264655346,38.5012056094299
23.1,14227.171340748,32252.6852740303,142.037950556873,856.526684118441,988.091875350991,2524.5,182.649511348622,199.313216425019,39.2924113989643
23.2,14247.7919236406,32272.759826506,142.242902372237,873.921284261938,1006.85411488189,2574,186.456593062622,203.317334572798,40.0811243262876
23.3,14268.3829234075,32292.8541157733,142.447547871226,891.339176061814,1025.59514806369,2623.5,190.272051552622,207.325007585337,40.8680582625907
23.4,14288.9441008119,32312.9677826813,142.651603766151,908.780026629719,1044.31473417593,2673,194.095885335334,211.336261725202,41.654070104449
23.5,14309.4751073794,32333.1004071061,142.854873769463,926.243454912733,1063.0125297696,2722.5,197.928099436488,215.351136063275,42.4400806414075
23.6,14329.9755313446,32353.2515406848,143.057223241551,943.729059656749,1081.68813263706,2772,201.768703413857,219.36967770854,43.2270279748629
23.7,14350.4449285117,32373.4207273956,143.258562718524,961.236436591271,1100.34111125383,2821.5,205.617709938897,223.39193841223,44.015837363694
23.8,14370.8828440368,32393.6075172486,143.45883697244,978.765189639797,1118.97102549637,2871,209.475133732084,227.417972087779,44.8074002358929
23.9,14391.2888284532,32413.8114758291,143.658017486285,996.314938608778,1137.57744183879,2920.5,213.340990734177,231.447832956318,45.6025588279258
24,14411.662449822,32434.0321911734,143.856097050186,1013.88532464908,1156.15994484038,2970,217.215297443444,235.481574132439,46.4020946394864
24.1,14432.0033031014,32454.2692787974,144.05308568905,1031.47601419095,1174.7181459738,3019.5,221.098070375953,239.519246530557,47.2067197431469
24.2,14452.3123276271,32474.5235409361,144.250543257663,1049.0877305533,1193.25292687003,3069,224.989251826334,243.560771234497,48.0132693340371
24.3,14472.5913400741,32494.7964298722,144.449663402015,1066.72176278331,1211.76600182891,3118.5,228.888739420111,247.605985008869,48.8175464193432
24.4,14492.841331444,32515.0885378304,144.649696482641,1084.37861483327,1230.2583047036,3168,232.796476003222,251.65479958087,49.6188628318606
24.5,14513.0627000877,32535.3999493628,144.849982494661,1102.05833430272,1248.73020227029,3217.5,236.712430002747,255.70717799799,50.417464201168
24.6,14533.255483693,32555.7304779741,145.050053795967,1119.76073220191,1267.18171689046,3267,240.636586093292,259.763117766029,51.2139847978072
24.7,14553.419502637,32576.0797915305,145.249586212052,1137.48549677774,1285.61266446522,3316.5,244.568939799377,263.822639265443,52.0092446483971
24.8,14573.5544461025,32596.4474804271,145.448354821943,1155.23225379814,1304.02273715891,3366,248.509494102854,267.885777869311,52.8041507416822
24.9,14593.6599258832,32616.8330969275,145.646204268353,1173.00060045918,1322.41155494154,3415.5,252.458257180308,271.952578509954,53.5996412689445
25,14613.7355118157,32637.2361793428,145.843029516035,1190.79012573167,1340.77869942797,3465,256.415240809895,276.023091847264,54.3966506797348
25.1,14633.780756352,32657.6562677927,146.038763202686,1208.60042335075,1359.12373727245,3514.5,260.380459194065,280.097371496571,55.1960859470046
25.2,14653.7952123814,32678.0929150159,146.23336705805,1226.43110057035,1377.44623708566,3564,264.353928054287,284.175471973072,55.9988094764094
25.3,14673.7784466103,32698.5456940743,146.426825841181,1244.28178431032,1395.74578209703,3613.5,268.335663913417,288.257447134878,56.80562635961
25.4,14693.7300498283,32719.0142039637,146.61914285165,1262.15212556917,1414.0219798385,3663,272.325683514603,292.343348984566,57.6172747667211
25.5,14713.6500836798,32739.4984606093,146.810850566619,1280.04214693119,1432.27488361457,3712.5,276.323978518369,296.43318418138,58.4331463318612
25.6,14733.5406760472,32760.0002602301,147.004415437592,1297.95345172955,1450.50649896336,3762,280.330426582316,300.526759839523,59.2471657326014
25.7,14753.4030721023,32780.5204113782,147.199102963856,1315.8867394491,1468.71800304516,3811.5,284.344959688497,304.623966891319,60.0581908232839
25.8,14773.237829622,32801.0591115031,147.394180375187,1333.8421565023,1486.90991530087,3861,288.367539501733,308.724754299857,60.866288520941
25.9,14793.0450850804,32821.6162316844,147.589121427318,1351.81956210881,1505.08235244397,3910.5,292.398146262659,312.82911020532,61.6720091369107
26,14812.8247214571,32842.1914676745,147.783560696432,1369.81866626212,1523.23518999478,3960,296.436772512448,316.937048848644,62.476132581332
