time_s,H_q235_j,H_qt_j,H_weld_j,weld_to_qt_j,weld_to_q235_j,source_total_j,loss_q235_j,loss_qt_j,loss_weld_j
22.8,13745.0472496114,31257.1261049728,124.116316464371,614.527247104023,750.103736853259,2376,162.330547742223,190.645080043672,37.4258166786176
22.9,13766.3605364939,31276.6734738231,124.331057591738,627.806673214788,765.364786076853,2425.5,165.90336648975,194.700543289815,38.2221378249149
23,13787.6716948767,31296.2291830994,124.523930826785,641.098455705041,780.631821120984,2475,169.484299557377,198.760022489239,39.0219846635069
23.1,13808.9706851979,31315.7896022944,124.711955828084,654.398827938421,795.894753302615,2524.5,173.073297824273,202.823381513178,39.8221928552199
23.2,13830.2590244526,31335.3651217327,124.883013302935,667.718030343666,811.155025910734,2574,176.6702875841,206.890470465642,40.6231979750281
23.3,13851.5315822183,31354.9612968313,125.03522546978,681.061516163824,826.407420318371,2623.5,180.275180632355,210.961187172903,41.4266431884114
23.4,13872.7590773019,31374.5587871807,125.216771544109,694.409857040447,841.622552895286,2673,183.887874532024,215.035443685758,42.2331612685676
23.5,13893.9256149313,31394.1457647689,125.457102578976,707.751072742508,856.784394844902,2722.5,187.50823525865,219.113087785191,43.0413101900461
23.6,13915.0121871193,31413.7125302596,125.785458737903,721.075284795502,871.873773283802,2772,191.136097915922,223.193940332985,43.8509011472491
23.7,13936.0031943088,31433.257933254,126.218904950595,734.381145057369,886.874900727191,2821.5,194.771274576182,227.277803586228,44.6620048373253
23.8,13956.9083834505,31452.7934334504,126.735917330489,747.679931914744,901.797311054032,2871,198.413552167703,231.364496232959,45.4753328812392
23.9,13977.75519188,31472.328927788,127.297701854413,760.981407281345,916.668229268369,2920.5,202.062718358926,235.453883247392,46.2926923844008
24,13998.5450356602,31491.864031703,127.901124402671,774.285085524904,931.488872990908,2970,205.718574707663,239.545863561423,47.1164854780678
24.1,14019.439798237,31511.5158264624,128.318915501069,787.709206987595,946.422187349849,3019.5,209.382182896187,243.641596250508,47.892796166078
24.2,14040.4296482065,31531.2393472898,128.524554830211,801.209074119712,961.458590833556,3069,213.053792816337,247.741348540762,48.7024238310747
24.3,14061.4177116914,31550.9721387096,128.709652867726,814.722289719291,976.501262726428,3118.5,216.733457630638,251.845178706029,49.5129759091316
24.4,14082.3919036185,31570.7084193007,128.893126030448,828.242925556362,991.538049335465,3168,220.421108719037,255.952939937538,50.3236179083243
24.5,14103.3540421822,31590.4551624926,129.066156910987,841.777794897329,1006.57068701022,3217.5,224.116664236471,260.064472072213,51.134617620083
24.6,14124.3014156854,31610.2208529492,129.221778001868,855.335263705221,1021.59637402347,3267,227.820034152858,264.17965640939,51.9473783160883
24.7,14145.22288918,31630.0052026465,129.370532726507,868.914952398884,1036.60387373799,3316.5,231.531116779098,268.298401391334,52.7629727912905
24.8,14166.0799799364,31649.7707302594,129.588532049783,882.479278666039,1051.55458708611,3366,235.249795777257,272.42060603102,53.5814714607578
24.9,14186.8674601215,31669.5259167039,129.875340100916,896.036518747653,1066.44312383429,3415.5,238.975908746749,276.546065653829,54.4004241878543
25,14207.5616177183,31689.2539049705,130.270299193913,909.569641225367,1081.24559190136,3465,242.709275623343,280.674605850514,55.2214121581014
25.1,14228.1631309798,31708.9676931564,130.7607758649,923.091438479454,1095.96246079799,3514.5,246.449687664878,284.806020904371,56.0438069444217
25.2,14248.6990580678,31728.6834534883,131.301920240444,936.617932110197,1110.62057227894,3564,250.196928464186,288.940160188593,56.8695950652096
25.3,14269.1815850393,31748.3934510935,131.887078805555,950.141289900197,1125.23190764167,3613.5,253.950793261908,293.076926359101,57.7012809553913
25.4,14289.7242912788,31768.1884965284,132.358183722331,963.753045792298,1139.91067633635,3663,257.711912123453,297.217042801866,58.4911890598598
25.5,14310.3693182168,31788.0695674175,132.600258141567,977.454782930262,1154.6996255925,3712.5,261.480890847915,301.361115036369,59.3099658545278
25.6,14331.025995142,31807.9694503953,132.799773604131,991.179389870691,1169.5081256185,3762,265.257770355078,305.509244984736,60.1288810335563
25.7,14351.6739101959,31827.8743241339,132.990404222312,1004.91293837037,1184.31572417274,3811.5,269.04251026179,309.661325731013,60.9486409694778
25.8,14372.3087727062,31847.786717568,133.174691334486,1018.65780862533,1199.11806611088,3861,272.835046096077,313.817208537808,61.7686792722263
25.9,14392.9319857079,31867.717728436,133.339449404809,1032.42497006757,1213.91647124112,3910.5,276.635294631027,317.976765097578,62.5898922374579
26,14413.5401368694,31887.6709159819,133.483216158871,1046.21789018607,1228.70743250379,3960,280.443161138447,322.139903655718,63.4137817102437
