time_s,probe,s_mm,n_mm,z_mm,material_id,birth_fraction,elmer_common_c,fvm_common_c,delta_common_c,elmer_native_c,fvm_native_c,delta_native_c
21.0,line_13,0.0,-0.2,0.8,3,0.75,1034.0936131095657,1163.833673707116,-129.74006059755038,1078.887675885701,nan,nan
21.0,line_14,0.0,-0.1,0.9,3,0.75,1002.4736913942116,1133.073148752957,-130.59945735874533,1053.8899121631434,nan,nan
21.0,line_15,0.0,0.0,1.0,1,1.0,893.8605189247573,932.4160835455846,-38.55556462082723,1023.069140906575,nan,nan
21.0,line_16,0.0,0.1,1.1,1,1.0,873.6899875366896,910.3053726567443,-36.615385120054725,995.0447598729639,nan,nan
21.0,line_17,0.0,0.2,1.2,1,1.0,853.0074271770361,887.1532924883863,-34.145865311350235,960.3443159088289,nan,nan
21.0,line_18,0.0,0.3,1.3,1,1.0,839.1313750348645,872.6957379273251,-33.56436289246062,918.6782035731364,nan,nan
21.0,line_19,0.0,0.4,1.4,1,1.0,811.499986459063,841.8380326471362,-30.338046188073122,876.0663660618093,nan,nan
21.0,line_20,0.0,0.5,1.5,1,1.0,785.9330089814238,813.6438919321042,-27.710882950680457,827.7818879288008,nan,nan
21.0,line_21,0.0,0.6,1.6,1,1.0,757.7085915231842,782.3963079789731,-24.687716455788973,777.462894576168,nan,nan
21.0,line_22,0.0,0.7,1.7,1,1.0,725.3124529515472,747.0196862745804,-21.707233323033165,730.3045410409186,nan,nan
21.0,line_23,0.0,0.8,1.8,1,1.0,693.511546930179,712.336886657098,-18.825339726919083,695.9262393993737,nan,nan
21.0,line_24,0.0,0.9,1.9,1,1.0,664.0549386517455,682.4388228630241,-18.383884211278655,672.6021169833729,nan,nan
21.0,line_25,0.0,1.0,2.0,1,1.0,634.2601531883492,651.088846114462,-16.828692926112694,650.0922122898007,nan,nan
21.1,weld_center,0.0,-0.5,0.5,3,0.8250000000000011,1084.082355547749,1224.5477133903003,-140.46535784255116,1126.7765170495836,1224.5477133903,-97.77119634071641
21.1,qt_near_interface,0.0,-0.2,-0.2,2,1.0,868.280563731985,997.9679561255411,-129.68739239355614,870.327214633015,997.967956125542,-127.6407414925269
21.1,qt_far,0.0,-1.0,-1.0,2,1.0,742.1710563871999,806.5080625149052,-64.33700612770531,729.5465011711381,806.508062514905,-76.9615613437669
21.1,q235_near_interface,0.0,0.2,0.0,1,1.0,744.8404740449646,757.5619998915273,-12.721525846562713,780.0955603947002,757.561999891527,22.53356050317325
21.1,q235_far,0.0,1.0,0.0,1,1.0,613.8846863482671,623.7671503695485,-9.882464021281407,622.9111116493486,623.767150369549,-0.8560387202003312
21.2,weld_center,0.0,-0.5,0.5,3,0.8999999999999986,1090.9991833181477,1230.8742313646408,-139.87504804649302,1133.975619267302,1230.87423136464,-96.89861209733817
21.2,qt_near_interface,0.0,-0.2,-0.2,2,1.0,875.447015298917,1005.9565459048358,-130.50953060591883,877.7770026745352,1005.95654590484,-128.17954323030483
21.2,qt_far,0.0,-1.0,-1.0,2,1.0,748.7778842643045,814.4275116342668,-65.64962736996233,737.1394006029672,814.427511634267,-77.28811103129988
21.2,q235_near_interface,0.0,0.2,0.0,1,1.0,751.8455998486156,765.9352968181958,-14.089696969580132,787.9083872966378,765.935296818196,21.973090478441804
21.2,q235_far,0.0,1.0,0.0,1,1.0,619.6447824172394,630.3195469626382,-10.67476454539883,629.4178476305876,630.319546962638,-0.9016993320503843
21.3,weld_center,0.0,-0.5,0.5,3,0.9750000000000014,1097.057702824834,1236.5422962670184,-139.4845934421844,1140.5658959330058,1236.54229626702,-95.97640033401422
21.3,qt_near_interface,0.0,-0.2,-0.2,2,1.0,882.0085864073575,1013.3486622123154,-131.3400758049579,884.6608236619552,1013.34866221232,-128.68783855036486
21.3,qt_far,0.0,-1.0,-1.0,2,1.0,754.8346468341831,821.8362926430301,-67.001645808847,744.2210403749166,821.83629264303,-77.61525226811341
21.3,q235_near_interface,0.0,0.2,0.0,1,1.0,758.3725647698441,773.8870351878955,-15.514470418051474,795.2306550684563,773.887035187896,21.343619880560254
21.3,q235_far,0.0,1.0,0.0,1,1.0,625.0956054887185,636.6145682799944,-11.51896279127584,635.6032676989174,636.614568279994,-1.0113005810766253
21.4,weld_center,0.0,-0.5,0.5,3,1.0,1106.9221863148816,1241.4086877850211,-134.4865014701395,1156.884421042975,1241.40868778502,-84.52426674204503
21.4,qt_near_interface,0.0,-0.2,-0.2,2,1.0,888.9201009420168,1018.5223438345516,-129.60224289253483,894.033122256704,1018.52234383455,-124.48922157784602
21.4,qt_far,0.0,-1.0,-1.0,2,1.0,760.8448627832036,827.7605935898305,-66.91573080662693,751.0202524711844,827.76059358983,-76.74034111864557
21.4,q235_near_interface,0.0,0.2,0.0,1,1.0,765.2642653243729,779.6330119350077,-14.368746610634844,803.0558175803295,779.633011935008,23.422805645321546
21.4,q235_far,0.0,1.0,0.0,1,1.0,630.5556714126615,641.9703826508478,-11.414711238186328,641.7933337038103,641.970382650848,-0.17704894703774698
