time_s,probe,s_mm,n_mm,z_mm,material_id,birth_fraction,elmer_common_c,fvm_common_c,delta_common_c,elmer_native_c,fvm_native_c,delta_native_c
22.200000000000003,q235_far,0.0,1.0,0.0,1,1.0,632.1446740705434,641.1378391700575,-8.993165099514158,645.6427200577369,641.137839170058,4.504880887678951
22.3,weld_center,0.0,-0.5,0.5,3,1.0,1025.9053097386122,1118.8137687251308,-92.90845898651855,1073.3904133688955,1118.81376872513,-45.42335535623465
22.3,qt_near_interface,0.0,-0.2,-0.2,2,1.0,814.4008429374428,901.8620667716748,-87.46122383423199,816.3826146244654,901.862066771676,-85.47945214721062
22.3,qt_far,0.0,-1.0,-1.0,2,1.0,725.5128175687521,773.4047106070859,-47.89189303833382,723.2980031318311,773.404710607086,-50.10670747525489
22.3,q235_near_interface,0.0,0.2,0.0,1,1.0,717.1145213606738,724.9137566267923,-7.799235266118444,741.9362998773377,724.913756626792,17.02254325054571
22.3,q235_far,0.0,1.0,0.0,1,1.0,632.5984748818756,640.9149216752496,-8.316446793373984,645.5559643045294,640.91492167525,4.641042629279468
22.400000000000002,weld_center,0.0,-0.5,0.5,3,1.0,1019.4500779496854,1108.026224975157,-88.57614702547164,1061.7986578831944,1108.0262249751595,-46.22756709196506
22.400000000000002,qt_near_interface,0.0,-0.2,-0.2,2,1.0,811.8514957714508,896.7116626300783,-84.86016685862751,812.2687847049355,896.7116626300788,-84.4428779251433
22.400000000000002,qt_far,0.0,-1.0,-1.0,2,1.0,723.8201154908927,770.189721597318,-46.369606106425294,721.047926847608,770.1897215973179,-49.1417947497099
22.400000000000002,q235_near_interface,0.0,0.2,0.0,1,1.0,716.0792677328162,722.8802396089416,-6.800971876125345,739.5812379218587,722.8802396089419,16.700998312916795
22.400000000000002,q235_far,0.0,1.0,0.0,1,1.0,632.8310197143834,640.4638845404481,-7.632864826064747,645.2239963978838,640.463884540448,4.7601118574357315
22.5,weld_center,0.0,-0.5,0.5,3,1.0,1012.5586101653929,1096.769354153252,-84.21074398785902,1049.750239441137,1096.76935415325,-47.01911471211315
22.5,qt_near_interface,0.0,-0.2,-0.2,2,1.0,808.9658200765917,891.1722229158627,-82.20640283927094,807.8110461725691,891.172222915863,-83.36117674329387
22.5,qt_far,0.0,-1.0,-1.0,2,1.0,721.8355283941609,766.6512078852103,-44.81567949104942,718.4891101191658,766.65120788521,-48.16209776604421
22.5,q235_near_interface,0.0,0.2,0.0,1,1.0,714.7839472552264,720.5870419284682,-5.803094673241844,736.9379007597964,720.587041928469,16.3508588313274
22.5,q235_far,0.0,1.0,0.0,1,1.0,632.8576552038895,639.802304659144,-6.944649455254535,644.6671298459046,639.802304659144,4.864825186760527
22.5,line_00,0.0,-1.5,-0.5,2,1.0,774.2946672497253,809.477595236105,-35.182927986379696,827.3315058144201,nan,nan
22.5,line_01,0.0,-1.4,-0.4,2,1.0,801.1094100011115,837.0098651499138,-35.90045514880228,860.0774630649322,nan,nan
